case,mode,is_labeled,verdict,actual_tier,actual_strategy,actual_status,expected_tier,expected_strategy,text_conf,cont_conf,mask_ratio,border_touch,rectangularity,gradient_fit_error,safe_rect_conf,golden_verdict,label_reason,error
page_000_region_000_sfx,conservative,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,no expected fields,
page_000_region_000_sfx,balanced,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,no expected fields,
page_000_region_000_sfx,aggressive,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,no expected fields,
page_000_region_001_sfx,conservative,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,no expected fields,
page_000_region_001_sfx,balanced,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,no expected fields,
page_000_region_001_sfx,aggressive,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,no expected fields,
page_000_region_002_sfx,conservative,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.58,0.0,0.011,0.75,0.012,,0.0,,no expected fields,
page_000_region_002_sfx,balanced,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.58,0.0,0.011,0.75,0.012,,0.0,,no expected fields,
page_000_region_002_sfx,aggressive,False,UNLABELED,3,skip,skipped_sfx_default_policy,0,,0.58,0.0,0.011,0.75,0.012,,0.0,,no expected fields,
page_000_region_003_speech_bubble,conservative,False,UNLABELED,3,skip,skipped_large_mask,0,,0.55,0.72,0.211,0.0,0.276,,0.925,,no expected fields,
page_000_region_003_speech_bubble,balanced,False,UNLABELED,2,flat_fill,auto_cautious_cleaned_review,0,,0.55,0.72,0.227,0.0,0.286,,0.925,,no expected fields,
page_000_region_003_speech_bubble,aggressive,False,UNLABELED,2,flat_fill,auto_cautious_cleaned_review,0,,0.55,0.72,0.227,0.0,0.286,,0.925,,no expected fields,
page_001_region_000_speech_bubble,conservative,False,UNLABELED,2,texture_clone,auto_cautious_cleaned_review,0,,0.58,0.72,0.044,0.0,0.079,,0.935,,no expected fields,
page_001_region_000_speech_bubble,balanced,False,UNLABELED,2,texture_clone,auto_cautious_cleaned_review,0,,0.58,0.72,0.044,0.0,0.079,,0.935,,no expected fields,
page_001_region_000_speech_bubble,aggressive,False,UNLABELED,2,texture_clone,auto_cautious_cleaned_review,0,,0.58,0.72,0.044,0.0,0.079,,0.935,,no expected fields,
